"paper_id","topic_id","topic_title","title","authors","year","venue","citation_count","decision_label","relevance_score","decision_method","source_api","external_id","url","pdf_url","pdf_downloaded","pdf_path","parsed","abstract_preview"
"11","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Classifier Clustering and Feature Alignment for Federated Learning under Distributed Concept Drift","Junbao Chen; Jingfeng Xue; Yong Wang; Zhenyan Liu; Lu Huang","2024","Neural Information Processing Systems","18","direct","1.0","llm","semantic_scholar","fa29841d8e97b84414588806483221fd885e0c2a","https://www.semanticscholar.org/paper/fa29841d8e97b84414588806483221fd885e0c2a","https://arxiv.org/pdf/2410.18478","yes","storage\pdfs\topic_1\paper_11.pdf","yes","Data heterogeneity is one of the key challenges in federated learning, and many efforts have been devoted to tackling th"
"12","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Adaption via Selection: On Client Selection to Counter Concept Drift in Federated Learning","Julius Thomas; Finn Saile; Mathias Fischer; Dominik Kaaser; Stefan Schulte","2025","European Conference on Service-Oriented and Cloud Computing","3","exclude","0.0","rule","semantic_scholar","9cf24822052c560555fee7897b14f96b13e0c618","https://www.semanticscholar.org/paper/9cf24822052c560555fee7897b14f96b13e0c618","","no","","no",""
"13","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Federated Learning based Gender Classification in Heterogeneous and Distributed Data having Concept Drift","Vishwash Sharma; VenkataHemant Kumar Reddy Challa; Pasupuleti Pranavi; Rimjhim Padam Singh","2025","Procedia Computer Science","1","exclude","0.0","rule","semantic_scholar","94ed2ccbf1175a6df9d0ed029a7e955c0953c064","https://www.semanticscholar.org/paper/94ed2ccbf1175a6df9d0ed029a7e955c0953c064","","no","","no",""
"14","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Federated Learning under Distributed Concept Drift","Ellango Jothimurugesan; Kevin Hsieh; Jianyu Wang; Gauri Joshi; Phillip B. Gibbons","2022","International Conference on Artificial Intelligence and Statistics","90","direct","1.0","llm","semantic_scholar","baefa660f5c9111764216c7b22d00236b88e3ac2","https://www.semanticscholar.org/paper/baefa660f5c9111764216c7b22d00236b88e3ac2","http://arxiv.org/pdf/2206.00799","yes","storage\pdfs\topic_1\paper_14.pdf","yes","Federated Learning (FL) under distributed concept drift is a largely unexplored area. Although concept drift is itself a"
"15","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Unveiling Group-Specific Distributed Concept Drift: A Fairness Imperative in Federated Learning","Teresa Salazar; João Gama; Helder Ara'ujo; P. Abreu","2024","IEEE Transactions on Neural Networks and Learning Systems","8","direct","0.9","llm","semantic_scholar","0f3192c04b1e46794d9eaef6e0606c3ef02763d5","https://www.semanticscholar.org/paper/0f3192c04b1e46794d9eaef6e0606c3ef02763d5","https://arxiv.org/pdf/2402.07586","yes","storage\pdfs\topic_1\paper_15.pdf","yes","In the evolving field of machine learning, ensuring group fairness has become a critical concern, prompting the developm"
"16","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","A Modular Plugin for Concept Drift in Federated Learning","C. G. S. Capanema; Joahannes Costa; Fabrício A. Silva; Leandro A. Villas; A. Loureiro","2024","2024 20th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT)","3","direct","1.0","llm","semantic_scholar","6a3fdeef9bbfcdfed803d8e5671124cfaba2e90a","https://www.semanticscholar.org/paper/6a3fdeef9bbfcdfed803d8e5671124cfaba2e90a","","no","","yes","In Federated Learning (FL), personalization-based solutions have emerged to improve clients’ performance, considering th"
"17","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Client-Side Adaptation to Concept Drift in Federated Learning","Finn Saile; Julius Thomas; Dominik Kaaser; Stefan Schulte","2024","2024 2nd International Conference on Federated Learning Technologies and Applications (FLTA)","5","direct","1.0","llm","semantic_scholar","a1eb2553a68378488b63a7c90e5b30ee396105ba","https://www.semanticscholar.org/paper/a1eb2553a68378488b63a7c90e5b30ee396105ba","","no","","yes","Federated Learning is a paradigm at the intersection of Machine Learning and Distributed Computing. The fundamental idea"
"18","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FLAME: Adaptive and Reactive Concept Drift Mitigation for Federated Learning Deployments","Ioannis Mavromatis; Stefano De Feo; Aftab Khan","2024","arXiv.org","3","direct","1.0","llm","semantic_scholar","b8e73552db4e1d335475bba2819ebcf2305297f1","https://www.semanticscholar.org/paper/b8e73552db4e1d335475bba2819ebcf2305297f1","https://arxiv.org/pdf/2410.01386","yes","storage\pdfs\topic_1\paper_18.pdf","yes","This paper presents Federated Learning with Adaptive Monitoring and Elimination (FLAME), a novel solution capable of det"
"19","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Flash: Concept Drift Adaptation in Federated Learning","Kunjal Panchal; Sunav Choudhary; Subrata Mitra; Koyel Mukherjee; Somdeb Sarkhel; Saayan Mitra; Hui Guan","2023","International Conference on Machine Learning","35","exclude","0.0","rule","semantic_scholar","d74e078344b166867b60769d4bdbfa55616a1e7e","https://www.semanticscholar.org/paper/d74e078344b166867b60769d4bdbfa55616a1e7e","","no","","no",""
"20","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FedPLC: Federated Learning with Dynamic Cluster Adaptation for Concept Drift on Non-IID Data","Qi Zhou; Yantao Yu; Jin Ma; Mohammad S. Obaidat; Xing Chang; Mingchen Ma; Shousheng Sun","2026","Italian National Conference on Sensors","1","direct","1.0","llm","semantic_scholar","1bdb252ea614a35f73186e775cfb9c9e136051bb","https://www.semanticscholar.org/paper/1bdb252ea614a35f73186e775cfb9c9e136051bb","","no","","yes","In practical deployments of decentralized federated learning (FL) in Internet of Things (IoT) environments, the non-inde"
"21","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Classifier Clustering and Feature Alignment for Federated Learning under Distributed Concept Drift","Junbao Chen; Jingfeng Xue; Yong Wang; Zhenyan Liu; Lu Huang","2024","Neural Information Processing Systems","18","direct","1.0","llm","semantic_scholar","fa29841d8e97b84414588806483221fd885e0c2a","https://www.semanticscholar.org/paper/fa29841d8e97b84414588806483221fd885e0c2a","https://arxiv.org/pdf/2410.18478","yes","storage\pdfs\topic_1\paper_21.pdf","yes","Data heterogeneity is one of the key challenges in federated learning, and many efforts have been devoted to tackling th"
"22","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Federated Learning under Distributed Concept Drift","Ellango Jothimurugesan; Kevin Hsieh; Jianyu Wang; Gauri Joshi; Phillip B. Gibbons","2022","International Conference on Artificial Intelligence and Statistics","90","direct","1.0","llm","semantic_scholar","baefa660f5c9111764216c7b22d00236b88e3ac2","https://www.semanticscholar.org/paper/baefa660f5c9111764216c7b22d00236b88e3ac2","http://arxiv.org/pdf/2206.00799","yes","storage\pdfs\topic_1\paper_22.pdf","yes","Federated Learning (FL) under distributed concept drift is a largely unexplored area. Although concept drift is itself a"
"23","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Unveiling Group-Specific Distributed Concept Drift: A Fairness Imperative in Federated Learning","Teresa Salazar; João Gama; Helder Ara'ujo; P. Abreu","2024","IEEE Transactions on Neural Networks and Learning Systems","8","direct","0.95","llm","semantic_scholar","0f3192c04b1e46794d9eaef6e0606c3ef02763d5","https://www.semanticscholar.org/paper/0f3192c04b1e46794d9eaef6e0606c3ef02763d5","https://arxiv.org/pdf/2402.07586","yes","storage\pdfs\topic_1\paper_23.pdf","yes","In the evolving field of machine learning, ensuring group fairness has become a critical concern, prompting the developm"
"24","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Federated Learning based Gender Classification in Heterogeneous and Distributed Data having Concept Drift","Vishwash Sharma; VenkataHemant Kumar Reddy Challa; Pasupuleti Pranavi; Rimjhim Padam Singh","2025","Procedia Computer Science","1","exclude","0.0","rule","semantic_scholar","94ed2ccbf1175a6df9d0ed029a7e955c0953c064","https://www.semanticscholar.org/paper/94ed2ccbf1175a6df9d0ed029a7e955c0953c064","","no","","no",""
"25","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Mitigating Concept Drift in Distributed Contexts with Dynamic Repository of Federated Models","E. Tsiporkova; Michiel De Vis; Sarah Klein; Anna Hristoskova; V. Boeva","2023","BigData Congress [Services Society]","1","direct","1.0","llm","semantic_scholar","9154dd441999cea8186c0da6dcd7717d771c9a7d","https://www.semanticscholar.org/paper/9154dd441999cea8186c0da6dcd7717d771c9a7d","https://bth.diva-portal.org/smash/get/diva2:1841268/FULLTEXT01","no","","yes","This paper proposes a novel federated learning methodology, called FedRepo, that copes with concept drift issues in a st"
"26","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Attentive Federated Learning for Concept Drift in Distributed 5G Edge Networks","A. Estiri; Muthucumaru Maheswaran","2021","arXiv.org","9","direct","0.95","llm","semantic_scholar","a0156d80eb72fbfb5b4af78bda0941d3ae5c27c9","https://www.semanticscholar.org/paper/a0156d80eb72fbfb5b4af78bda0941d3ae5c27c9","https://arxiv.org/pdf/2111.07457","yes","storage\pdfs\topic_1\paper_26.pdf","yes","Machine learning (ML) is expected to play a major role in 5G edge computing. Various studies have demonstrated that ML i"
"27","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Detect, Adapt, Overcome: Mitigating Concept Drift in Federated Learning","Iftekhar Rahman; Nisal Hemadasa; Dominik Kaaser; Pierre-Alexandre Murena; Stefan Schulte","2025","2025 3rd International Conference on Federated Learning Technologies and Applications (FLTA)","1","direct","1.0","llm","semantic_scholar","bcc2bc19add28d28926163a5e8012cd2c8214b25","https://www.semanticscholar.org/paper/bcc2bc19add28d28926163a5e8012cd2c8214b25","","no","","yes","Federated Learning (FL) is a distributed machine learning paradigm where a central server coordinates the training of a "
"28","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Concept Drift Aware Hierarchical Aggregation for Personalised Federated Learning","George Aziz; Obaidullah Zaland; Sajib Mistry; Aneesh Krishna; Monowar Bhuyan","2025","BigData Congress [Services Society]","0","direct","1.0","llm","semantic_scholar","d2617573dcb5ac293ee1112f4f50d12ec33d382e","https://www.semanticscholar.org/paper/d2617573dcb5ac293ee1112f4f50d12ec33d382e","","no","","yes","The rise of big data distributed across heterogeneous and decentralised sources has driven the development of Federated "
"29","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Online Transient Stability Assessment Under Concept Drift: An ARF-Method-Assisted Federated Learning for Data Streams","M. Massaoudi; Maymouna Ez Eddin; Haitham Abu-Rub; Ali Ghrayeb; Katherine R. Davis","2025","IEEE Internet of Things Journal","0","exclude","0.0","rule","semantic_scholar","cb37a0ebf7637143b0fb375cc61778172d2700b8","https://www.semanticscholar.org/paper/cb37a0ebf7637143b0fb375cc61778172d2700b8","","no","","no",""
"30","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","A Modular Plugin for Concept Drift in Federated Learning","C. G. S. Capanema; Joahannes Costa; Fabrício A. Silva; Leandro A. Villas; A. Loureiro","2024","2024 20th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT)","3","direct","1.0","llm","semantic_scholar","6a3fdeef9bbfcdfed803d8e5671124cfaba2e90a","https://www.semanticscholar.org/paper/6a3fdeef9bbfcdfed803d8e5671124cfaba2e90a","","no","","yes","In Federated Learning (FL), personalization-based solutions have emerged to improve clients’ performance, considering th"
"31","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Client-Side Adaptation to Concept Drift in Federated Learning","Finn Saile; Julius Thomas; Dominik Kaaser; Stefan Schulte","2024","2024 2nd International Conference on Federated Learning Technologies and Applications (FLTA)","5","direct","1.0","llm","semantic_scholar","a1eb2553a68378488b63a7c90e5b30ee396105ba","https://www.semanticscholar.org/paper/a1eb2553a68378488b63a7c90e5b30ee396105ba","","no","","yes","Federated Learning is a paradigm at the intersection of Machine Learning and Distributed Computing. The fundamental idea"
"32","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Distributed Predictive QoS in Automotive Environments Under Concept Drift","Georgios Drainakis; P. Pantazopoulos; Konstantinos V. Katsaros; Vasilis Sourlas; A. Amditis; Dimitra I. Kaklamani","2024","2024 IFIP Networking Conference (IFIP Networking)","2","direct","0.95","llm","semantic_scholar","e983fd2d50a9f2c99a136a1dedbdeddfc7beb12a","https://www.semanticscholar.org/paper/e983fd2d50a9f2c99a136a1dedbdeddfc7beb12a","","no","","yes","As network connectivity increasingly shapes modern vehicular applications, in-advance knowledge of Quality-of-Service (Q"
"33","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","An Impact Study of Concept Drift in Federated Learning","Guanhui Yang; Xiaoting Chen; Tengsen Zhang; Shuo Wang; Yun Yang","2023","Industrial Conference on Data Mining","13","direct","1.0","llm","semantic_scholar","2eb0a2b8990b8a88637a2dcd46bcc0010be81a88","https://www.semanticscholar.org/paper/2eb0a2b8990b8a88637a2dcd46bcc0010be81a88","","no","","yes","Federated learning (FL) is a rising distributed machine learning area, which aims to train a high-performing global mode"
"34","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FLARE: Detection and Mitigation of Concept Drift for Federated Learning based IoT Deployments","The-Yuan Chow; Usman Raza; Ioannis Mavromatis; Aftab Khan","2023","International Conference on Wireless Communications and Mobile Computing","9","direct","0.95","llm","semantic_scholar","e09e1a6ab567e69e33edfabff666fa1e78dde539","https://www.semanticscholar.org/paper/e09e1a6ab567e69e33edfabff666fa1e78dde539","https://arxiv.org/pdf/2305.08504","yes","storage\pdfs\topic_1\paper_34.pdf","yes","Intelligent, large-scale IoT ecosystems have become possible due to recent advancements in sensing technologies, distrib"
"35","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FAC-fed: Federated adaptation for fairness and concept drift aware stream classification","Maryam Badar; W. Nejdl; M. Fisichella","2023","Machine-mediated learning","10","direct","0.9","llm","semantic_scholar","ff839bf1b4c3e84a6bb1ed7eff6d18939a234f76","https://www.semanticscholar.org/paper/ff839bf1b4c3e84a6bb1ed7eff6d18939a234f76","https://link.springer.com/content/pdf/10.1007/s10994-023-06360-7.pdf","yes","storage\pdfs\topic_1\paper_35.pdf","yes","Federated learning is an emerging collaborative learning paradigm of Machine learning involving distributed and heteroge"
"36","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Concept drift detection and adaptation for federated and continual learning","F. Casado; Dylan Lema; Marcos F. Criado; R. Iglesias; Carlos V. Regueiro; S. Barro","2021","Multimedia tools and applications","98","direct","1.0","llm","semantic_scholar","87dc85543e5705cb5798a878ab0b133e7fd6ba19","https://www.semanticscholar.org/paper/87dc85543e5705cb5798a878ab0b133e7fd6ba19","https://link.springer.com/content/pdf/10.1007/s11042-021-11219-x.pdf","yes","storage\pdfs\topic_1\paper_36.pdf","yes","Smart devices, such as smartphones, wearables, robots, and others, can collect vast amounts of data from their environme"
"37","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FedPLC: Federated Learning with Dynamic Cluster Adaptation for Concept Drift on Non-IID Data","Qi Zhou; Yantao Yu; Jin Ma; Mohammad S. Obaidat; Xing Chang; Mingchen Ma; Shousheng Sun","2026","Italian National Conference on Sensors","1","direct","1.0","llm","semantic_scholar","1bdb252ea614a35f73186e775cfb9c9e136051bb","https://www.semanticscholar.org/paper/1bdb252ea614a35f73186e775cfb9c9e136051bb","","no","","yes","In practical deployments of decentralized federated learning (FL) in Internet of Things (IoT) environments, the non-inde"
"38","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Online Federated Learning via Non-Stationary Detection and Adaptation Amidst Concept Drift","Bhargav Ganguly; V. Aggarwal","2022","IEEE/ACM Transactions on Networking","21","direct","1.0","llm","semantic_scholar","abdf8a45c746ffbd4ebc4992087561b83c595374","https://www.semanticscholar.org/paper/abdf8a45c746ffbd4ebc4992087561b83c595374","https://arxiv.org/pdf/2211.12578","yes","storage\pdfs\topic_1\paper_38.pdf","yes","Federated Learning (FL) is an emerging domain in the broader context of artificial intelligence research. Methodologies "
"39","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Asynchronous Federated Learning for Sensor Data with Concept Drift","Yujing Chen; Zheng Chai; Yue Cheng; H. Rangwala","2021","2021 IEEE International Conference on Big Data (Big Data)","48","direct","1.0","llm","semantic_scholar","09d1aeaeece8c6fe551eab7a330fd706da3236dd","https://www.semanticscholar.org/paper/09d1aeaeece8c6fe551eab7a330fd706da3236dd","http://arxiv.org/pdf/2109.00151","yes","storage\pdfs\topic_1\paper_39.pdf","yes","Federated learning (FL) involves multiple distributed devices jointly training a shared model without any of the partici"
"40","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Adaptive Federated Learning in Presence of Concept Drift","Giuseppe Canonaco; Alex Bergamasco; Alessio Mongelluzzo; M. Roveri","2021","IEEE International Joint Conference on Neural Network","48","direct","1.0","llm","semantic_scholar","e74d62eb06615ac578c584382bf29769469c33ed","https://www.semanticscholar.org/paper/e74d62eb06615ac578c584382bf29769469c33ed","","no","","yes","Federated Learning (FL) is a promising research area in the machine learning field. Techniques and solutions belonging t"
"41","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Attentive Federated Learning for Concept Drift in Distributed 5G Edge Networks","A. Estiri; Muthucumaru Maheswaran","2021","arXiv.org","9","direct","0.95","llm","semantic_scholar","a0156d80eb72fbfb5b4af78bda0941d3ae5c27c9","https://www.semanticscholar.org/paper/a0156d80eb72fbfb5b4af78bda0941d3ae5c27c9","https://arxiv.org/pdf/2111.07457","yes","storage\pdfs\topic_1\paper_41.pdf","yes","Machine learning (ML) is expected to play a major role in 5G edge computing. Various studies have demonstrated that ML i"
"42","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","An Impact Study of Concept Drift in Federated Learning","Guanhui Yang; Xiaoting Chen; Tengsen Zhang; Shuo Wang; Yun Yang","2023","Industrial Conference on Data Mining","13","direct","1.0","llm","semantic_scholar","2eb0a2b8990b8a88637a2dcd46bcc0010be81a88","https://www.semanticscholar.org/paper/2eb0a2b8990b8a88637a2dcd46bcc0010be81a88","","no","","yes","Federated learning (FL) is a rising distributed machine learning area, which aims to train a high-performing global mode"
"43","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","FLARE: Detection and Mitigation of Concept Drift for Federated Learning based IoT Deployments","The-Yuan Chow; Usman Raza; Ioannis Mavromatis; Aftab Khan","2023","International Conference on Wireless Communications and Mobile Computing","9","direct","0.95","llm","semantic_scholar","e09e1a6ab567e69e33edfabff666fa1e78dde539","https://www.semanticscholar.org/paper/e09e1a6ab567e69e33edfabff666fa1e78dde539","https://arxiv.org/pdf/2305.08504","yes","storage\pdfs\topic_1\paper_43.pdf","yes","Intelligent, large-scale IoT ecosystems have become possible due to recent advancements in sensing technologies, distrib"
"44","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Adaptive Federated Learning in Presence of Concept Drift","Giuseppe Canonaco; Alex Bergamasco; Alessio Mongelluzzo; M. Roveri","2021","IEEE International Joint Conference on Neural Network","48","direct","1.0","llm","semantic_scholar","e74d62eb06615ac578c584382bf29769469c33ed","https://www.semanticscholar.org/paper/e74d62eb06615ac578c584382bf29769469c33ed","","no","","yes","Federated Learning (FL) is a promising research area in the machine learning field. Techniques and solutions belonging t"
"45","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Asynchronous Federated Learning for Sensor Data with Concept Drift","Yujing Chen; Zheng Chai; Yue Cheng; H. Rangwala","2021","2021 IEEE International Conference on Big Data (Big Data)","48","direct","1.0","llm","semantic_scholar","09d1aeaeece8c6fe551eab7a330fd706da3236dd","https://www.semanticscholar.org/paper/09d1aeaeece8c6fe551eab7a330fd706da3236dd","http://arxiv.org/pdf/2109.00151","yes","storage\pdfs\topic_1\paper_45.pdf","yes","Federated learning (FL) involves multiple distributed devices jointly training a shared model without any of the partici"
"46","1","Federated Learning under Concept Drift: A Unified Perspective on Drift-Aware Learning in Distributed Non-Stationary Environments","Online Federated Learning via Non-Stationary Detection and Adaptation Amidst Concept Drift","Bhargav Ganguly; V. Aggarwal","2022","IEEE/ACM Transactions on Networking","21","direct","1.0","llm","semantic_scholar","abdf8a45c746ffbd4ebc4992087561b83c595374","https://www.semanticscholar.org/paper/abdf8a45c746ffbd4ebc4992087561b83c595374","https://arxiv.org/pdf/2211.12578","yes","storage\pdfs\topic_1\paper_46.pdf","yes","Federated Learning (FL) is an emerging domain in the broader context of artificial intelligence research. Methodologies "
